"","governance_capacity","social_norm","agroecol_perspective_13","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","numHA_nhlabour_permanent_total","num_info_exchange_extension","perception_associations_effectiveness","support_provider.cooperatives","training_participation","human_wellbeing_11"
"20240125_ArR",-1.27994727421125,1.63711493326454,2,1,1,150,1,0,4,1,1,1,3
"20240126_RaM",-0.610250933891151,1.64438247851391,2,1,1,300,1,1,1,3,1,1,4
"20240126_WiM",-1.27994727421125,1.64438247851391,2,1,1,600,1,0.307692307692308,4,3,1,1,3
"20240212_EsV",-0.610250933891151,-0.569455876917501,5,0,0,5,4,0.2,0,0,0,0,4
"20240212_JaR",-0.000320749026673284,-0.576928033554103,5,0,0,100,4,0.125,0,0,0,0,4
"20240212_JuA",-0.610250933891151,-0.566750233343923,4,0,0,1,4,0.444444444444444,0,0,0,0,4
"20240213_LeC",0.119211561884564,1.64201641673066,4,0,0,1,4,0.375,0,0,0,0,4
"20240213_PeS",0.0594454064289452,-0.556367655935235,5,0,0,5,4,0.235294117647059,0,0,0,0,4
"20240213_WiM",0.119211561884564,-0.557052864257766,4,0,0,5,4,0.4,0,0,0,0,4
"20240214_ViG",0.0594454064289452,-0.559488709630235,4,0,0,2,4,0.19047619047619,0,0,0,0,3
"20240216_CaR",0.78890790220466,-0.581060906057351,4,0,0,0,4,0.166666666666667,0,2,0,0,5
"20240216_JuC",0.119211561884564,-0.587213156570634,4,0,0,2,3,0.5,0,0,0,0,5
"20240217_CaA",0.0594454064289452,-0.578908378078868,4,0,0,2,3,0.333333333333333,0,1,0,0,4
"20240226_DaT",-1.27994727421125,1.63895104978611,2,1,1,150,1,0.0666666666666667,3,4,1,1,3
"20240226_JuT",-1.27994727421125,1.64321206523877,3,1,0,100,1,0.111111111111111,1,2,0,0,3
"20240226_NeT",-1.27994727421125,-0.556084041286108,2,1,1,100,2,0,0,2,0,0,3
"20240226_WiB",0.178977717340182,1.64214358251739,2,1,1,300,1,0.148148148148148,5,3,1,1,4
"20240227_ElT",-1.27994727421125,1.64467241034187,3,1,1,3,1,0,0,1,0,0,2
"20240227_LuP",-0.550484778435533,-0.577333926194673,5,0,0,2,3,0.125,0,1,0,0,5
"20240227_SeV",-1.27994727421125,1.64423469677308,2,1,1,100,1,0,0,1,0,0,3
"20240228_AlA",-1.27994727421125,1.64368982180813,2,1,1,100,1,0.5,0,0,0,0,2
"20240228_DeR",0.0594454064289452,-0.572699698113487,4,0,0,150,4,0.333333333333333,0,2,0,1,4
"20240228_GlG",-1.27994727421125,1.64377735458229,2,1,0,100,1,0,0,1,0,0,3
"20240228_GrL",-1.27994727421125,-0.555215338542394,2,1,1,200,1,0.1,2,2,0,0,3
"20240228_LiY",-0.430952467524296,1.64368982180813,2,1,1,300,1,0.5,3,4,1,1,3
"20240228_MaS",-1.27994727421125,1.63264332064022,3,1,1,150,1,0,1,3,0,0,3
"20240228_SeT",-0.610250933891151,-0.560946789012123,2,1,1,250,2,0.0333333333333333,5,4,1,1,3
"20240228_SoI",-0.610250933891151,-0.575139516715907,4,0,0,2,3,0.285714285714286,0,1,0,0,4
"20240229_AnD",-1.22018111875563,1.64433809474137,2,1,1,300,1,0.0833333333333333,4,4,1,1,3
"20240229_AnG",-1.27994727421125,1.64467241034187,2,1,1,150,1,0.333333333333333,0,0,0,0,3
"20240229_ArP",-0.000320749026673284,-0.57116490000569,5,0,0,5,4,0.2,0,1,0,0,5
"20240229_GeE",-1.27994727421125,1.6443241105093,2,1,0,300,1,0,2,3,0,0,3
"20240229_GiA",0.119211561884564,-0.571463776691032,5,0,0,10,4,0.285714285714286,0,0,0,0,5
"20240229_JuA",-1.22018111875563,-0.555215338542394,2,1,1,300,1,0,2,2,0,0,3
"20240229_LuA",0.78890790220466,-0.571034954528053,5,0,0,50,5,0.3,1,1,0,0,5
"20240229_MaY",-1.27994727421125,1.64433809474137,3,1,1,200,1,0.666666666666667,1,1,0,0,3
"20240229_SaC",-1.16041496330001,1.63515930577609,2,1,1,250,1,1,4,3,1,1,3
"20240301_AnF",0.0594454064289452,1.61772995206236,2,1,1,1,1,0.05,4,3,1,1,4
"20240301_CaG",0.0594454064289452,-0.573475651120373,5,0,0,50,5,0.16,0,1,0,1,4
"20240301_ElC",-1.27994727421125,-0.569625278588276,3,1,0,250,2,0.05,4,4,0,0,3
"20240301_ErR",0.729141746749042,-0.580708254454439,3,0,0,50,5,0.421052631578947,0,0,0,0,4
"20240301_PaN",0.119211561884564,-0.576080276677608,5,0,0,0,3,0.4,0,1,0,0,5
"20240301_SiC",-0.550484778435533,-0.569625278588276,3,1,0,50,1,0.133333333333333,3,1,0,1,2
