main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Banana,,Plant units,,988.4207,,,,,,,,"179,595",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,595",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Banana,,Stalk,,247.1052,,,,,,,,"179,596",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,596",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,100th bag,,1.647368,,,,,,,,"179,597",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,597",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,Bag,,2.471052,1501,2011,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,50 (N) and 75 (P) ,,"https://scihub.org/ABJNA/PDF/2012/4/ABJNA-3-4-154-168.pdf and https://doi.org/10.1007/BF01986276, respectively","179,598",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,1501,2011,125,,"179,598",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,Bucket,,37.06577,,,,,,,,"179,599",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,599",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,Debe,,14.82631,,,,,,,,"179,600",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,600",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,Gorogoro,,65.89471,,,,,,,,"179,601",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,601",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,Kilograms,1,7668.781,1065,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f7c92bd886910096c6d81105402bf0eeca16dee3,,5000 (manure) + 100 (DAP) or 200 (DAP alone),,https://www.researchgate.net/publication/333703385_Effect_of_fertilizers_and_harvesting_method_on_yield_of_cowpea,"179,602",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1065,,200,,"179,602",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Beans,,Tins,,889.5786,,,,,,,,"179,603",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,603",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Black nightshade,,Kilograms,1,194595.3,20000,40000,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,4000 - 8000 FYM or compost,,,"179,604",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,20000,40000,8000,,"179,604",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Butternut,,Kilograms,1,4942.103,,,,,,,,"179,605",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,605",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cabbage,,150 pieces,,3459.472,,,,,,,,"179,606",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,606",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cabbage,,Kilograms,1,104772.6,,,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,125 (DAP) + 150 (CAN) or 5000 (FYM/compost) + 75 (DAP) + 75 (CAN),,https://statistics.kilimo.go.ke/files/bookpage/KARI_Use_of_Organic_and_anorganic_fertilizers_MaizeVegetables_finger_millet_kenya_.pdf  ,"179,607",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,275,,"179,607",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cabbage,,Numbers,,27033.3,,,,,,,,"179,608",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,608",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cabbage,,Pieces,,125611.8,,,,,,,,"179,609",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,609",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cabbage,,Plant units,,8401.576,,,,,,,,"179,610",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,610",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Capsicum,,Kilograms,1,247.1052,,5250,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,96 (N) and 50 (P2O5) ,,https://doi.org/10.9734/ACRI/2017/33101,"179,611",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,5250,146,,"179,611",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
